director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Anthony and Joe Russo , Chris Evans,Robert Downey Jr.,Scarlett Johansson,Adventure Action Science Fiction,captain america: civil war, Chris Evans Robert Downey Jr. Scarlett Johansson Anthony and Joe Russo  Adventure Action Science Fiction
Jodie Foster , George Clooney,Julia Roberts,Jack O'Connell,Thriller Drama,money monster, George Clooney Julia Roberts Jack O'Connell Jodie Foster  Thriller Drama
Greg McLean , Kevin Bacon,Radha Mitchell,unknown,Horror Thriller,the darkness, Kevin Bacon Radha Mitchell unknown Greg McLean  Horror Thriller
Whit Stillman , Kate Beckinsale,Xavier Samuel,Emma Greenwell,Comedy Drama Romance,love & friendship, Kate Beckinsale Xavier Samuel Emma Greenwell Whit Stillman  Comedy Drama Romance
Clay Kaytis , Jason Sudeikis,Josh Gad,Danny McBride,Animation Adventure Comedy,the angry birds movie, Jason Sudeikis Josh Gad Danny McBride Clay Kaytis  Animation Adventure Comedy
Nicholas Stoller , Seth Rogen,Zac Efron,unknown,Comedy,neighbors 2: sorority rising, Seth Rogen Zac Efron unknown Nicholas Stoller  Comedy
Shane Black , Russell Crowe,Ryan Gosling,Angourie Rice,Comedy Crime Action,the nice guys, Russell Crowe Ryan Gosling Angourie Rice Shane Black  Comedy Crime Action
Bryan Singer , James McAvoy,Michael Fassbender,Jennifer Lawrence,Action Adventure Science Fiction Fantasy,x-men: apocalypse, James McAvoy Michael Fassbender Jennifer Lawrence Bryan Singer  Action Adventure Science Fiction Fantasy
James Bobin , Johnny Depp,Anne Hathaway,Mia Wasikowska,Adventure Family Fantasy,alice through the looking glass, Johnny Depp Anne Hathaway Mia Wasikowska James Bobin  Adventure Family Fantasy
Dave Green , Megan Fox,Stephen Amell,Will Arnett,Action Adventure Comedy Family Science Fiction,teenage mutant ninja turtles: out of the shadows, Megan Fox Stephen Amell Will Arnett Dave Green  Action Adventure Comedy Family Science Fiction
Thea Sharrock , Emilia Clarke,Sam Claflin,unknown,Drama Romance,me before you, Emilia Clarke Sam Claflin unknown Thea Sharrock  Drama Romance
